1,1,ontario
2,2,guangdong
3,3,uusimaa
4,4,île-de-france
4,5,aquitaine
5,6,bavaria
5,7,nordrhein-westfalen
5,8,hessen
6,9,maharashtra
6,10,karnataka
6,11,uttar pradesh
7,12,dublin
8,13,zuid-holland
9,14,stockholm
10,15,vaud
10,16,zurich
10,17,basel-city
11,18,greater london
11,19,west berkshire
11,20,hillingdon
11,21,surrey
11,22,turin
12,23,new york
12,24,virginia
12,25,california
12,26,new jersey
12,27,wisconsin
12,28,washington
12,29,texas
12,30,north carolina
12,31,district of columbia
12,32,illinois
12,33,michigan
12,34,minnesota
12,35,georgia
12,36,maryland
12,37,kentucky
12,38,connecticut
12,39,ohio
12,40,massachusetts
12,41,south carolina
0,42,kw.com
0,43,lowes.com
